season,race,position,driver,team,time,points_earned,weather,laps
1,1,1,Rho_Septendecim,Tapped In Team,2912.191482629733,25,Wet,35
1,1,2,Pi_Sedecim,Spanky's Fast Cars,3006.977254675014,18,Wet,35
1,1,3,Mu_Duodecimus,Boba Tea Gnarly Automotives,3123.4884879192678,15,Wet,35
1,1,4,Eta_Septimus,Crashout Formula One,3125.5603141616775,12,Wet,35
1,1,5,Gamma_Tertius,Boba Tea Gnarly Automotives,3308.318706444692,10,Wet,35
1,1,6,Omicron_Quindecim,B2B SaaS Motorsport,3318.1017914431095,8,Wet,35
1,1,7,Beta_Secundus,Red Velvet Racing,3364.002890981822,6,Wet,35
1,1,8,Xi_Quattuordecim,LDCMWEBLGTBWLS,3365.2988882728005,4,Wet,35
1,1,9,Sigma_Duodevicesimus,TurboToast Racing,3365.468533076707,2,Wet,35
1,1,10,Delta_Quartus,DNF Finishers,3365.5847108360776,1,Wet,35
1,1,11,Alpha_Primus,TurboToast Racing,3367.7227306430814,0,Wet,35
1,1,12,Zeta_Sextus,Lag's 200 Ping Power,3373.3735486996356,0,Wet,35
1,1,13,Iota_Nonus,DNF Finishers,3416.7306112327997,0,Wet,35
1,1,14,Theta_Octavus,LDCMWEBLGTBWLS,3449.323173641773,0,Wet,35
1,1,15,Tau_Undevicesimus,Crashout Formula One,3453.6378696348565,0,Wet,35
1,1,16,Lambda_Undecimus,Tapped In Team,3760.8546969031086,0,Wet,35
1,1,17,Nu_Tredecimus,B2B SaaS Motorsport,3786.0739738187212,0,Wet,35
1,1,18,Kappa_Decimus,Red Velvet Racing,3857.053052695148,0,Wet,35
1,1,19,Epsilon_Quintus,Lag's 200 Ping Power,11499.632879732471,0,Wet,35
1,1,20,Upsilon_Vicesimus,Spanky's Fast Cars,16944.417012201655,0,Wet,35
1,2,1,Rho_Septendecim,Tapped In Team,5115.789208179075,25,Sunny,74
1,2,2,Gamma_Tertius,Boba Tea Gnarly Automotives,5118.53296185721,18,Sunny,74
1,2,3,Lambda_Undecimus,Tapped In Team,5119.195970361094,15,Sunny,74
1,2,4,Omicron_Quindecim,B2B SaaS Motorsport,5119.879366903016,12,Sunny,74
1,2,5,Alpha_Primus,TurboToast Racing,5126.149092468958,10,Sunny,74
1,2,6,Zeta_Sextus,Lag's 200 Ping Power,6794.061704853702,8,Sunny,74
1,2,7,Upsilon_Vicesimus,Spanky's Fast Cars,6840.808649421246,6,Sunny,74
1,2,8,Sigma_Duodevicesimus,TurboToast Racing,6905.633826630219,4,Sunny,74
1,2,9,Nu_Tredecimus,B2B SaaS Motorsport,6934.0158299284085,2,Sunny,74
1,2,10,Tau_Undevicesimus,Crashout Formula One,7038.892754360726,1,Sunny,74
1,2,11,Eta_Septimus,Crashout Formula One,7919.427628005495,0,Sunny,74
1,2,12,Pi_Sedecim,Spanky's Fast Cars,26535.554829406297,0,Sunny,74
1,2,13,Xi_Quattuordecim,LDCMWEBLGTBWLS,33059.36576531303,0,Sunny,74
1,2,14,Mu_Duodecimus,Boba Tea Gnarly Automotives,45158.63012571844,0,Sunny,74
1,2,15,Kappa_Decimus,Red Velvet Racing,55305.30647789701,0,Sunny,74
1,2,16,Iota_Nonus,DNF Finishers,55307.921053957034,0,Sunny,74
1,2,17,Epsilon_Quintus,Lag's 200 Ping Power,61906.29720916678,0,Sunny,74
1,2,18,Beta_Secundus,Red Velvet Racing,64975.06089297262,0,Sunny,74
1,2,19,Theta_Octavus,LDCMWEBLGTBWLS,69543.45179806587,0,Sunny,74
1,2,20,Delta_Quartus,DNF Finishers,69544.28077490319,0,Sunny,74
1,3,1,Iota_Nonus,DNF Finishers,2791.9534142695416,25,Unknown,36
1,3,2,Eta_Septimus,Crashout Formula One,2792.325335623293,18,Unknown,36
1,3,3,Alpha_Primus,TurboToast Racing,2793.4502455497754,15,Unknown,36
1,3,4,Kappa_Decimus,Red Velvet Racing,2793.834891848238,12,Unknown,36
1,3,5,Mu_Duodecimus,Boba Tea Gnarly Automotives,2793.9686984266705,10,Unknown,36
1,3,6,Beta_Secundus,Red Velvet Racing,2795.436779438248,8,Unknown,36
1,3,7,Theta_Octavus,LDCMWEBLGTBWLS,2797.3405022884103,6,Unknown,36
1,3,8,Zeta_Sextus,Lag's 200 Ping Power,2797.5243209370915,4,Unknown,36
1,3,9,Lambda_Undecimus,Tapped In Team,2797.592135120665,2,Unknown,36
1,3,10,Xi_Quattuordecim,LDCMWEBLGTBWLS,2797.7927235884963,1,Unknown,36
1,3,11,Sigma_Duodevicesimus,TurboToast Racing,2799.50446093801,0,Unknown,36
1,3,12,Delta_Quartus,DNF Finishers,2801.054265650248,0,Unknown,36
1,3,13,Nu_Tredecimus,B2B SaaS Motorsport,3053.8763934495055,0,Unknown,36
1,3,14,Tau_Undevicesimus,Crashout Formula One,6486.305641170908,0,Unknown,36
1,3,15,Rho_Septendecim,Tapped In Team,6491.837033203953,0,Unknown,36
1,3,16,Gamma_Tertius,Boba Tea Gnarly Automotives,17551.12610097896,0,Unknown,36
1,3,17,Epsilon_Quintus,Lag's 200 Ping Power,17551.961577641916,0,Unknown,36
1,3,18,Omicron_Quindecim,B2B SaaS Motorsport,23086.737647939666,0,Unknown,36
1,3,19,Pi_Sedecim,Spanky's Fast Cars,31393.580089511255,0,Unknown,36
1,3,20,Upsilon_Vicesimus,Spanky's Fast Cars,32316.563908023447,0,Unknown,36
1,4,1,Rho_Septendecim,Tapped In Team,3523.411845973779,25,Wet,44
1,4,2,Pi_Sedecim,Spanky's Fast Cars,3618.1812512449505,18,Wet,44
1,4,3,Eta_Septimus,Crashout Formula One,3834.8293003863087,15,Wet,44
1,4,4,Mu_Duodecimus,Boba Tea Gnarly Automotives,3855.05498998089,12,Wet,44
1,4,5,Gamma_Tertius,Boba Tea Gnarly Automotives,4035.788490472377,10,Wet,44
1,4,6,Epsilon_Quintus,Lag's 200 Ping Power,4067.6915293835236,8,Wet,44
1,4,7,Iota_Nonus,DNF Finishers,4132.614168015308,6,Wet,44
1,4,8,Alpha_Primus,TurboToast Racing,4155.237938911631,4,Wet,44
1,4,9,Zeta_Sextus,Lag's 200 Ping Power,4175.76266566169,2,Wet,44
1,4,10,Tau_Undevicesimus,Crashout Formula One,4184.071014095818,1,Wet,44
1,4,11,Beta_Secundus,Red Velvet Racing,4234.29629948771,0,Wet,44
1,4,12,Upsilon_Vicesimus,Spanky's Fast Cars,4241.50497372864,0,Wet,44
1,4,13,Lambda_Undecimus,Tapped In Team,4524.147587359393,0,Wet,44
1,4,14,Nu_Tredecimus,B2B SaaS Motorsport,4552.859028862652,0,Wet,44
1,4,15,Kappa_Decimus,Red Velvet Racing,4651.405433583542,0,Wet,44
1,4,16,Omicron_Quindecim,B2B SaaS Motorsport,10478.53219212416,0,Wet,44
1,4,17,Xi_Quattuordecim,LDCMWEBLGTBWLS,21406.446141786993,0,Wet,44
1,4,18,Delta_Quartus,DNF Finishers,30455.71392760939,0,Wet,44
1,4,19,Sigma_Duodevicesimus,TurboToast Racing,33167.19772254776,0,Wet,44
1,4,20,Theta_Octavus,LDCMWEBLGTBWLS,33167.991567784964,0,Wet,44
1,5,1,Rho_Septendecim,Tapped In Team,3113.4908490214684,25,Wet,38
1,5,2,Pi_Sedecim,Spanky's Fast Cars,3208.386675603023,18,Wet,38
1,5,3,Eta_Septimus,Crashout Formula One,3363.686630426198,15,Wet,38
1,5,4,Mu_Duodecimus,Boba Tea Gnarly Automotives,3367.0729961235425,12,Wet,38
1,5,5,Omicron_Quindecim,B2B SaaS Motorsport,3560.252245711906,10,Wet,38
1,5,6,Epsilon_Quintus,Lag's 200 Ping Power,3586.0736672935795,8,Wet,38
1,5,7,Delta_Quartus,DNF Finishers,3649.4224394834278,6,Wet,38
1,5,8,Beta_Secundus,Red Velvet Racing,3650.8543480006897,4,Wet,38
1,5,9,Sigma_Duodevicesimus,TurboToast Racing,3655.484174145673,2,Wet,38
1,5,10,Xi_Quattuordecim,LDCMWEBLGTBWLS,3655.7532567437165,1,Wet,38
1,5,11,Alpha_Primus,TurboToast Racing,3659.432172508261,0,Wet,38
1,5,12,Iota_Nonus,DNF Finishers,3659.811891929936,0,Wet,38
1,5,13,Zeta_Sextus,Lag's 200 Ping Power,3662.81296832276,0,Wet,38
1,5,14,Upsilon_Vicesimus,Spanky's Fast Cars,3663.0462484615623,0,Wet,38
1,5,15,Tau_Undevicesimus,Crashout Formula One,3708.4082805793346,0,Wet,38
1,5,16,Theta_Octavus,LDCMWEBLGTBWLS,3748.2361985660345,0,Wet,38
1,5,17,Lambda_Undecimus,Tapped In Team,4020.012000882881,0,Wet,38
1,5,18,Kappa_Decimus,Red Velvet Racing,4137.253439377375,0,Wet,38
1,5,19,Gamma_Tertius,Boba Tea Gnarly Automotives,26266.78199748136,0,Wet,38
1,5,20,Nu_Tredecimus,B2B SaaS Motorsport,30860.529611049387,0,Wet,38
1,6,1,Rho_Septendecim,Tapped In Team,3871.4453839513676,25,Wet,49
