username,driver_name,team,aggressiveness,defensive_ability,stamina,age
alpha,Alpha_Primus,TurboToast Racing,0.51,0.43,0.42,31
beta,Beta_Secundus,Red Velvet Racing,0.69,0.4,0.62,33
gamma,Gamma_Tertius,Boba Tea Gnarly Automotives,0.21,0.39,0.5,22
delta,Delta_Quartus,DNF Finishers,0.23,0.4,0.5,35
epsilon,Epsilon_Quintus,Lag's 200 Ping Power,0.29,0.19,0.49,20
zeta,Zeta_Sextus,Lag's 200 Ping Power,0.24,0.49,0.87,29
eta,Eta_Septimus,Crashout Formula One,0.7,0.48,0.2,21
theta,Theta_Octavus,LDCMWEBLGTBWLS,0.67,0.92,0.73,32
iota,Iota_Nonus,DNF Finishers,0.49,0.73,0.57,22
kappa,Kappa_Decimus,Red Velvet Racing,0.36,0.82,0.47,27
lambda,Lambda_Undecimus,Tapped In Team,0.36,0.56,0.44,20
mu,Mu_Duodecimus,Boba Tea Gnarly Automotives,0.78,0.46,0.18,27
nu,Nu_Tredecimus,B2B SaaS Motorsport,0.14,0.57,0.45,37
xi,Xi_Quattuordecim,LDCMWEBLGTBWLS,0.59,0.21,0.29,36
omicron,Omicron_Quindecim,B2B SaaS Motorsport,0.15,0.17,0.38,34
pi,Pi_Sedecim,Spanky's Fast Cars,0.89,0.17,0.12,23
rho,Rho_Septendecim,Tapped In Team,0.37,0.29,0.1,20
sigma,Sigma_Duodevicesimus,TurboToast Racing,0.23,0.39,0.55,35
tau,Tau_Undevicesimus,Crashout Formula One,0.39,0.8,0.87,29
upsilon,Upsilon_Vicesimus,Spanky's Fast Cars,0.68,0.34,0.56,40
